Daniel_001,0,121
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
MinimalScore,99999999999999999999,99999999999999999999
